"","r2","r2_95ci","BIC","BIC_95ci","RMSE","RMSE_95ci","CE","CE_95ci","variables"
"1",0.00333073988219896,0.00547806372481077,260.45245247837,7.03069065495306,0.569849176524221,0.0418031898215929,-0.0489272654604976,0.0669918226152912,"S"
"2",0.821933439957231,0.0181319413491096,8.44294465913702,14.0967130437335,0.238327128697473,0.033237330121792,0.809935119960386,0.0588087108305641,"T"
"3",0.640969870669276,0.0282201221315119,110.91742469203,9.65354916441211,0.340794652117762,0.032691025265034,0.616299016967301,0.094227051798679,"Omega_shallow"
"4",0.145147748005984,0.0204221082278274,621.038675524076,9.14956187540572,1.95642922099364,0.178367275444953,0.101680543400868,0.0985254152223009,"pH_shallow"
"5",0.0398443008867316,0.0116861246145328,638.254731804523,8.56844063852205,2.06059376211568,0.17518620351091,0.000448622654717719,0.0696026995954456,"Omega_deep"
"6",0.00963681181206221,0.00758185295184285,642.762204203451,9.23523469971428,2.09751469506792,0.192033315576602,-0.0333404432836949,0.0583462895537261,"pH_deep"
"7",0.00492990159332719,0.00344392560273323,643.386689589677,9.01666102608949,2.09626514872634,0.187110783309289,-0.0303887501037117,0.0527951115273355,"size"
"8",0.843784470865051,0.0166885405307856,-6.02087777337625,14.3192497742765,0.225058573079938,0.0310030673158194,0.830860399775112,0.0548929310896884,"T,S"
"9",0.825891650806871,0.0179475721730759,9.94192731344379,13.9964297234747,0.238540068608067,0.0322544407429333,0.810126792540996,0.0589985854403945,"T,Omega_shallow"
"10",0.925024370266407,0.0119095968939022,364.685806289436,23.1433598220516,0.792513280952077,0.171952735277175,0.841501477219957,0.0785122633122443,"T,pH_shallow*"
"11",0.926552223387366,0.0120845287645674,361.988106487234,23.8184786607136,0.792291999427601,0.170505679765363,0.840952107986941,0.0813852976560036,"T,Omega_deep*"
"12",0.924498931902609,0.0119756557336729,365.881434656009,23.4782906409985,0.789554284273086,0.1743645682258,0.841569548293798,0.0811679353366138,"T,pH_deep*"
"13",0.920283087384159,0.0138518905353906,370.213383927419,31.0190949816777,0.731903676077294,0.215820773749827,0.875622303527457,0.0779753006688039,"T,size*"
"14",0.845876646634594,0.0194124574527373,464.566001746387,16.2573492498321,1.1453855599743,0.187295686917451,0.676047821171426,0.128937768144413,"Omega_shallow,Omega_deep"
"15",0.846553185633538,0.0204690836885423,465.703355621643,19.1389695774522,1.14446066308992,0.225720715580892,0.666702853222442,0.14282406616073,"Omega_shallow,pH_deep*"
"16",0.845921407330155,0.0200392284607151,464.386474533374,17.1352593156424,1.14452624636874,0.199051893180128,0.676467080231919,0.131459522654827,"Omega_shallow,size*"
"17",0.932843430354487,0.0108651266042151,353.774272396006,23.6474051312709,0.776311384535195,0.164741918431007,0.849650195212253,0.0729607183433622,"T,Omega_deep,size"
