"","r2","r2_95ci","BIC","BIC_95ci","RMSE","RMSE_95ci","CE","CE_95ci","variables"
"1",0.012587608789851,0.00450045891453,1597.39217413034,17.1908887459806,0.724633023396997,0.025893425453101,0.00577652171266628,0.017403474925503,"S"
"2",0.815733610042429,0.0063084334505586,387.692407429579,30.9546934826865,0.312532287616309,0.0199424172255662,0.814476781771958,0.0190365419062214,"T"
"3",0.664546833357915,0.0145139148705666,799.924848484766,32.1960082413895,0.416879081986421,0.0284562470996439,0.669104211758092,0.0438870231876904,"Omega_shallow"
"4",0.0769630183111652,0.00956539970701649,2820.63800102336,20.8914463339268,1.75024883567542,0.0721784499288871,0.0899938380861201,0.0341390967160347,"pH_shallow"
"5",0.000674655746688938,0.000820370791569849,2947.69044214986,18.2882557267792,1.84300132471058,0.069653018448506,-0.00730617607575882,0.00886156388123953,"Omega_deep"
"6",0.247889019740885,0.0179204248273107,2742.71778494081,25.7186278047122,1.60081217936833,0.0854402335496887,0.237694657917104,0.0563707265155741,"pH_deep"
"7",0.00853693925558645,0.00302080235346777,2798.05572951364,20.8307781668778,1.76845388432537,0.0686416322017955,0.0705208904216391,0.0210780967493898,"size"
"8",0.815919828750599,0.00631958635575505,393.367367211724,31.4812747490004,0.312773344684615,0.020321803907844,0.814332822441966,0.0191046610689969,"T,S"
"9",0.813411964348256,0.0065585076005441,393.195871163466,31.2608909719371,0.311640303148709,0.0204493799872689,0.815641779402005,0.019404691324977,"T,Omega_shallow"
"10",0.909971025275109,0.00334400062398774,1640.26585904247,33.0782311979294,0.762335347531098,0.0529570678596988,0.827467805567533,0.0183660607940238,"T,pH_shallow*"
"11",0.91067412018419,0.00334330243708713,1675.13465176518,32.9897690408603,0.761440838476134,0.0519349403532538,0.827465171253859,0.0185189929383332,"T,Omega_deep"
"12",0.910290582757684,0.00349332333414293,1676.8055839784,34.0398983483135,0.765541740834582,0.0535170805726708,0.826211705224964,0.0191902571063385,"T,pH_deep*"
"13",0.907053121380794,0.00351220414261841,1610.20238146619,32.8315881252931,0.766496550829793,0.0530334787730848,0.820026321028066,0.0194288792405961,"T,size"
