"","r2","r2_95ci","BIC","BIC_95ci","RMSE","RMSE_95ci","CE","CE_95ci","variables"
"1",0.230488131181744,0.022800075329366,-37.5026543383569,12.8555334527817,0.217826387010138,0.0168339766419175,0.212868387045654,0.0726884064949867,"S"
"2",0.640559737575967,0.0200244802580176,-223.539133414038,11.7277628357437,0.148770389020878,0.0104975950748381,0.629081939757703,0.061890836371364,"T"
"3",0.313461410991308,0.0358788986837488,-57.4421966125381,11.6408884630452,0.20108061642583,0.0152318913956522,0.32221134419403,0.110075778444866,"Omega_shallow"
"4",0.0328228756335401,0.0151356927624981,676.123909196565,9.80297377039795,1.00361524823934,0.0548285041959025,0.0530145241040432,0.0629935811504369,"pH_shallow"
"5",0.0303874003383438,0.0104485290908228,719.413068243501,8.48705084611285,1.02833839436048,0.0531091717865941,0.00630707664771646,0.0408929285363314,"Omega_deep"
"6",0.0775290169323617,0.0188113312896917,707.197269362772,9.906713348001,1.00538862056258,0.060501673746899,0.0498108729115906,0.0646950257769781,"pH_deep"
"7",0.0189050262425773,0.00634999265349595,722.291386830743,8.62902192722357,1.03227970429686,0.0541002844839642,-0.000391663470934181,0.0299987898361162,"size"
"8",0.641854436522302,0.0199376847283368,-218.645875046195,11.9260615330068,0.149320248192589,0.0107094789359932,0.625152221586028,0.0627157471742207,"T,S"
"9",0.644729055399375,0.0208472163381017,-202.702888259483,11.8601952312593,0.14532797122874,0.0111951672015642,0.646073090661059,0.0624235371555934,"T,Omega_shallow"
"10",0.808489720301712,0.0139326678579907,446.352270904256,15.3026062200486,0.620230327839315,0.0576074447827787,0.639226550284192,0.0693674186747818,"T,pH_shallow"
"11",0.831509784319952,0.0111646557401528,445.10817038624,14.6637468666833,0.581036986920128,0.0498803885220384,0.679541188495627,0.0572177487490785,"T,Omega_deep"
"12",0.801940986643208,0.012924100752014,479.669944652699,14.0468671130044,0.621120784505492,0.0514678738234193,0.638427045530482,0.0610703615546424,"T,pH_deep"
"13",0.816641783931365,0.0108880031048283,463.702268149755,13.105787962539,0.605072363176233,0.0467143518094815,0.653647998339165,0.0548757936464563,"T,size"
"14",0.52284655678089,0.0199099232057678,616.196851052982,10.871760172336,0.882093575439411,0.0585337764542097,0.260516881707604,0.0973163888090867,"Omega_shallow,Omega_deep*"
"15",0.537352852463091,0.0283449105154438,610.889502188618,12.0839717106162,0.889724220443462,0.0620958900342806,0.260936012970024,0.096986469270073,"Omega_shallow,size*"
"16",0.833278951134155,0.0106971434548561,448.569415182321,14.4264167078271,0.58235758403539,0.0489134140169558,0.67691958894839,0.0551797103700919,"T,S,Omega_deep*"
"17",0.856524034076555,0.00668663764490202,417.099462201662,9.01341538258456,0.559575563281729,0.0298707647967754,0.692936476037952,0.0484363663438808,"T,Omega_deep,size"
